Timestamp,IP,UserAgent,Status,Method_DELETE,Method_GET,Method_POST,Method_PUT
1680138625.0,171.188.9.196,Opera/9.72.(X11; Linux x86_64; ur-IN) Presto/2.9.187 Version/10.00,200,False,False,False,True
1689816874.0,16.126.39.186,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/4.0),404,True,False,False,False
1693107822.0,24.70.100.197,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/63.0.827.0 Mobile/25M499 Safari/535.1",404,True,False,False,False
1680087031.0,133.244.217.8,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),404,True,False,False,False
1693686464.0,210.217.88.198,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/41.0.817.0 Safari/536.1",200,False,False,True,False
1683336399.0,47.148.10.17,Opera/9.11.(X11; Linux x86_64; tl-PH) Presto/2.9.180 Version/11.00,201,False,False,False,True
1680339669.0,120.103.57.50,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/61.0.873.0 Safari/535.2",404,False,True,False,False
1680959595.0,26.211.219.199,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/45.0.824.0 Mobile/43V441 Safari/533.0",404,False,False,False,True
1673070766.0,37.115.221.156,Mozilla/5.0 (Android 4.4.4; Mobile; rv:25.0) Gecko/25.0 Firefox/25.0,201,False,True,False,False
1690302686.0,126.45.177.240,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.1),404,True,False,False,False
1693877746.0,42.113.211.156,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_0 rv:6.0; yue-HK) AppleWebKit/535.10.5 (KHTML, like Gecko) Version/5.0 Safari/535.10.5",500,False,False,True,False
1696049427.0,91.42.197.144,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; cmn-TW) AppleWebKit/531.10.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.10.5",201,True,False,False,False
1680338988.0,155.176.246.97,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_1 rv:3.0; fil-PH) AppleWebKit/534.30.4 (KHTML, like Gecko) Version/5.0.5 Safari/534.30.4",500,False,False,False,True
1675111776.0,14.96.165.42,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/29.0.853.0 Safari/534.2",404,True,False,False,False
1686062692.0,222.67.189.18,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/59.0.873.0 Safari/536.2",200,False,False,True,False
1686195077.0,96.63.248.234,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/27.0.846.0 Mobile/08B551 Safari/533.0",500,True,False,False,False
1679679479.0,115.54.71.231,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/4.1),200,False,True,False,False
1686672272.0,210.1.239.246,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/4917-06-12 20:18:32 Firefox/6.0,404,False,False,False,True
